,collocate,raw_freq,mi
0,to,2,2.835772109341101
1,the,1,1.7368911292449478
2,would,2,4.931129700966576
3,me,1,3.8752587962192964
4,them,1,4.609568673411214
5,my,1,3.7799557628197937
