,nodeA,nodeB,weight
171,Franklin Pierce,James Garfield,1
172,Franklin Pierce,Woodrow Wilson,1
173,Franklin Pierce,Herbert Hoover,1
174,Franklin D. Roosevelt,Franklin Pierce,1
175,Franklin Pierce,John F. Kennedy,1
176,Franklin Pierce,Jimmy Carter,1
177,Carter,Franklin Pierce,1
178,Franklin Pierce,Ronald Reagan,2
179,Franklin Pierce,Reagan,1
180,Franklin Pierce,George H.W. Bush,2
181,Bill Clinton,Franklin Pierce,1
182,Franklin Pierce,George W. Bush,1
183,Franklin Pierce,Saddam Hussein,1
184,Barack Obama,Franklin Pierce,1
185,James Garfield,Woodrow Wilson,1
186,Herbert Hoover,James Garfield,1
187,Franklin D. Roosevelt,James Garfield,1
188,James Garfield,John F. Kennedy,1
189,James Garfield,Jimmy Carter,1
190,Carter,James Garfield,1
191,James Garfield,Ronald Reagan,2
192,James Garfield,Reagan,1
193,George H.W. Bush,James Garfield,2
194,Bill Clinton,James Garfield,1
195,George W. Bush,James Garfield,1
196,James Garfield,Saddam Hussein,1
197,Barack Obama,James Garfield,1
198,Herbert Hoover,Woodrow Wilson,1
199,Franklin D. Roosevelt,Woodrow Wilson,1
200,John F. Kennedy,Woodrow Wilson,1
201,Jimmy Carter,Woodrow Wilson,1
202,Carter,Woodrow Wilson,1
203,Ronald Reagan,Woodrow Wilson,2
204,Reagan,Woodrow Wilson,1
205,George H.W. Bush,Woodrow Wilson,2
206,Bill Clinton,Woodrow Wilson,1
207,George W. Bush,Woodrow Wilson,1
208,Saddam Hussein,Woodrow Wilson,1
209,Barack Obama,Woodrow Wilson,1
210,Franklin D. Roosevelt,Herbert Hoover,1
211,Herbert Hoover,John F. Kennedy,1
212,Herbert Hoover,Jimmy Carter,1
213,Carter,Herbert Hoover,1
214,Herbert Hoover,Ronald Reagan,2
215,Herbert Hoover,Reagan,1
216,George H.W. Bush,Herbert Hoover,2
217,Bill Clinton,Herbert Hoover,1
218,George W. Bush,Herbert Hoover,1
219,Herbert Hoover,Saddam Hussein,1
220,Barack Obama,Herbert Hoover,1
221,Franklin D. Roosevelt,John F. Kennedy,1
222,Franklin D. Roosevelt,Jimmy Carter,1
223,Carter,Franklin D. Roosevelt,1
224,Franklin D. Roosevelt,Ronald Reagan,2
225,Franklin D. Roosevelt,Reagan,1
226,Franklin D. Roosevelt,George H.W. Bush,2
227,Bill Clinton,Franklin D. Roosevelt,1
228,Franklin D. Roosevelt,George W. Bush,1
229,Franklin D. Roosevelt,Saddam Hussein,1
230,Barack Obama,Franklin D. Roosevelt,1
231,Jimmy Carter,John F. Kennedy,1
232,Carter,John F. Kennedy,1
233,John F. Kennedy,Ronald Reagan,2
234,John F. Kennedy,Reagan,1
235,George H.W. Bush,John F. Kennedy,2
236,Bill Clinton,John F. Kennedy,1
237,George W. Bush,John F. Kennedy,1
238,John F. Kennedy,Saddam Hussein,1
239,Barack Obama,John F. Kennedy,1
240,Carter,Jimmy Carter,1
241,Jimmy Carter,Ronald Reagan,2
242,Jimmy Carter,Reagan,1
243,George H.W. Bush,Jimmy Carter,2
244,Bill Clinton,Jimmy Carter,1
245,George W. Bush,Jimmy Carter,1
246,Jimmy Carter,Saddam Hussein,1
247,Barack Obama,Jimmy Carter,1
248,Carter,Ronald Reagan,2
249,Carter,Reagan,1
250,Carter,George H.W. Bush,2
251,Bill Clinton,Carter,1
252,Carter,George W. Bush,1
253,Carter,Saddam Hussein,1
254,Barack Obama,Carter,1
255,Reagan,Ronald Reagan,2
256,George H.W. Bush,Ronald Reagan,4
257,Ronald Reagan,Ronald Reagan,2
258,Bill Clinton,Ronald Reagan,3
259,George W. Bush,Ronald Reagan,2
260,Ronald Reagan,Saddam Hussein,2
261,Barack Obama,Ronald Reagan,2
262,George H.W. Bush,Reagan,2
263,Bill Clinton,Reagan,1
264,George W. Bush,Reagan,1
265,Reagan,Saddam Hussein,1
266,Barack Obama,Reagan,1
267,Bill Clinton,George H.W. Bush,2
268,George H.W. Bush,George W. Bush,2
269,George H.W. Bush,George H.W. Bush,1
