,filename,n_words,n_unique_words
83,..\data\100_english_novels\corpus\Schreiner_Undine_1929.txt,90608,7379
84,..\data\100_english_novels\corpus\Stevenson_Arrow_1888.txt,80254,7770
85,..\data\100_english_novels\corpus\Stevenson_Catriona_1893.txt,102008,8338
86,..\data\100_english_novels\corpus\Stevenson_Treasure_1883.txt,68411,6699
87,..\data\100_english_novels\corpus\Thackeray_Esmond_1852.txt,186780,12902
88,..\data\100_english_novels\corpus\Thackeray_Pendennis_1850.txt,355737,19636
89,..\data\100_english_novels\corpus\Thackeray_Virginians_1859.txt,356171,19055
90,..\data\100_english_novels\corpus\Trollope_Angel_1881.txt,217633,10650
91,..\data\100_english_novels\corpus\Trollope_Phineas_1869.txt,263749,10549
92,..\data\100_english_novels\corpus\Trollope_Warden_1855.txt,72059,7374
93,..\data\100_english_novels\corpus\Ward_Ashe_1905.txt,141359,13513
94,..\data\100_english_novels\corpus\Ward_Harvest_1920.txt,74943,9035
95,..\data\100_english_novels\corpus\Ward_Milly_1881.txt,47588,3859
96,..\data\100_english_novels\corpus\Wcollins_Basil_1852.txt,116445,8908
97,..\data\100_english_novels\corpus\Wcollins_Legacy_1889.txt,119591,7617
98,..\data\100_english_novels\corpus\Wcollins_Woman_1860.txt,246869,11575
99,..\data\100_english_novels\corpus\Woolf_Lighthouse_1927.txt,69697,7252
100,..\data\100_english_novels\corpus\Woolf_Night_1919.txt,166863,11395
101,..\data\100_english_novels\corpus\Woolf_Years_1937.txt,128297,9354
